[LOG]: Permission: android.permission.ACCEPT_HANDOVER, Status: -1 (Denied)
[LOG]: Permission: android.permission.ACCESS_BACKGROUND_LOCATION, Status: -1 (Denied)
[LOG]: Permission: android.permission.ACCESS_COARSE_LOCATION, Status: -1 (Denied)
[LOG]: Permission: android.permission.ACCESS_FINE_LOCATION, Status: -1 (Denied)
[LOG]: Permission: android.permission.ACCESS_LOCATION_EXTRA_COMMANDS, Status: -1 (Denied)
[LOG]: Permission: android.permission.ACCESS_MEDIA_LOCATION, Status: -1 (Denied)
[LOG]: Permission: android.permission.ACCESS_NETWORK_STATE, Status: 0 (Granted)
[LOG]: Permission: android.permission.ACCESS_NOTIFICATION_POLICY, Status: -1 (Denied)
[LOG]: Permission: android.permission.ACCESS_WIFI_STATE, Status: 0 (Granted)
[LOG]: Permission: android.permission.ACCOUNT_MANAGER, Status: -1 (Denied)
[LOG]: Permission: android.permission.ACTIVITY_RECOGNITION, Status: -1 (Denied)
[LOG]: Permission: android.permission.ADD_VOICEMAIL, Status: -1 (Denied)
[LOG]: Permission: android.permission.ANSWER_PHONE_CALLS, Status: -1 (Denied)
[LOG]: Permission: android.permission.BATTERY_STATS, Status: -1 (Denied)
[LOG]: Permission: android.permission.BIND_ACCESSIBILITY_SERVICE, Status: -1 (Denied)
[LOG]: Permission: android.permission.BLUETOOTH, Status: 0 (Granted)
[LOG]: Permission: android.permission.BLUETOOTH_ADMIN, Status: 0 (Granted)
[LOG]: Permission: android.permission.BLUETOOTH_CONNECT, Status: -1 (Denied)
[LOG]: Permission: android.permission.BLUETOOTH_SCAN, Status: -1 (Denied)
[LOG]: Permission: android.permission.BLUETOOTH_STACK, Status: -1 (Denied)
[LOG]: Permission: android.permission.BODY_SENSORS, Status: -1 (Denied)
[LOG]: Permission: android.permission.BROADCAST_STICKY, Status: -1 (Denied)
[LOG]: Permission: android.permission.CALL_PHONE, Status: -1 (Denied)
[LOG]: Permission: android.permission.CAMERA, Status: -1 (Denied)
[LOG]: Permission: android.permission.CHANGE_WIFI_MULTICAST_STATE, Status: 0 (Granted)
[LOG]: Permission: android.permission.CHANGE_WIFI_STATE, Status: 0 (Granted)
[LOG]: Permission: android.permission.CLEAR_APP_CACHE, Status: -1 (Denied)
[LOG]: Permission: android.permission.CONTROL_LOCATION_UPDATES, Status: -1 (Denied)
[LOG]: Permission: android.permission.DELETE_PACKAGES, Status: -1 (Denied)
[LOG]: Permission: android.permission.DEVICE_POWER, Status: -1 (Denied)
[LOG]: Permission: android.permission.DIAGNOSTIC, Status: -1 (Denied)
[LOG]: Permission: android.permission.DISABLE_KEYGUARD, Status: -1 (Denied)
[LOG]: Permission: android.permission.DUMP, Status: -1 (Denied)
[LOG]: Permission: android.permission.FOREGROUND_SERVICE, Status: 0 (Granted)
[LOG]: Permission: android.permission.GET_ACCOUNTS, Status: -1 (Denied)
[LOG]: Permission: android.permission.GET_PACKAGE_SIZE, Status: -1 (Denied)
[LOG]: Permission: android.permission.GET_TASKS, Status: -1 (Denied)
[LOG]: Permission: android.permission.INSTALL_LOCATION_PROVIDER, Status: -1 (Denied)
[LOG]: Permission: android.permission.INTERNET, Status: 0 (Granted)
[LOG]: Permission: android.permission.KILL_BACKGROUND_PROCESSES, Status: -1 (Denied)
[LOG]: Permission: android.permission.MANAGE_EXTERNAL_STORAGE, Status: -1 (Denied)
[LOG]: Permission: android.permission.MODIFY_AUDIO_SETTINGS, Status: -1 (Denied)
[LOG]: Permission: android.permission.MODIFY_PHONE_STATE, Status: -1 (Denied)
[LOG]: Permission: android.permission.MOUNT_UNMOUNT_FILESYSTEMS, Status: -1 (Denied)
[LOG]: Permission: android.permission.NFC, Status: -1 (Denied)
[LOG]: Permission: android.permission.PACKAGE_USAGE_STATS, Status: -1 (Denied)
[LOG]: Permission: android.permission.PERSISTENT_ACTIVITY, Status: -1 (Denied)
[LOG]: Permission: android.permission.PROCESS_OUTGOING_CALLS, Status: -1 (Denied)
[LOG]: Permission: android.permission.QUERY_ALL_PACKAGES, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_CALENDAR, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_CALL_LOG, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_CONTACTS, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_EXTERNAL_STORAGE, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_FRAME_BUFFER, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_LOGS, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_PHONE_NUMBERS, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_PHONE_STATE, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_SMS, Status: -1 (Denied)
[LOG]: Permission: android.permission.READ_SYNC_SETTINGS, Status: -1 (Denied)
[LOG]: Permission: android.permission.REBOOT, Status: -1 (Denied)
[LOG]: Permission: android.permission.RECEIVE_BOOT_COMPLETED, Status: 0 (Granted)
[LOG]: Permission: android.permission.RECEIVE_MMS, Status: -1 (Denied)
[LOG]: Permission: android.permission.RECEIVE_SMS, Status: -1 (Denied)
[LOG]: Permission: android.permission.RECEIVE_WAP_PUSH, Status: -1 (Denied)
[LOG]: Permission: android.permission.RECORD_AUDIO, Status: -1 (Denied)
[LOG]: Permission: android.permission.REORDER_TASKS, Status: -1 (Denied)
[LOG]: Permission: android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS, Status: -1 (Denied)
[LOG]: Permission: android.permission.REQUEST_INSTALL_PACKAGES, Status: -1 (Denied)
[LOG]: Permission: android.permission.SEND_SMS, Status: -1 (Denied)
[LOG]: Permission: android.permission.SET_ALARM, Status: -1 (Denied)
[LOG]: Permission: android.permission.SET_TIME, Status: -1 (Denied)
[LOG]: Permission: android.permission.SET_WALLPAPER, Status: -1 (Denied)
[LOG]: Permission: android.permission.SET_WALLPAPER_HINTS, Status: -1 (Denied)
[LOG]: Permission: android.permission.SMS_FINANCIAL_TRANSACTIONS, Status: -1 (Denied)
[LOG]: Permission: android.permission.STATUS_BAR, Status: -1 (Denied)
[LOG]: Permission: android.permission.SYSTEM_ALERT_WINDOW, Status: -1 (Denied)
[LOG]: Permission: android.permission.TRANSMIT_IR, Status: -1 (Denied)
[LOG]: Permission: android.permission.USE_BIOMETRIC, Status: -1 (Denied)
[LOG]: Permission: android.permission.USE_FINGERPRINT, Status: -1 (Denied)
[LOG]: Permission: android.permission.VIBRATE, Status: 0 (Granted)
[LOG]: Permission: android.permission.WAKE_LOCK, Status: 0 (Granted)
[LOG]: Permission: android.permission.WRITE_APN_SETTINGS, Status: -1 (Denied)
[LOG]: Permission: android.permission.WRITE_CALENDAR, Status: -1 (Denied)
[LOG]: Permission: android.permission.WRITE_CALL_LOG, Status: -1 (Denied)
[LOG]: Permission: android.permission.WRITE_CONTACTS, Status: -1 (Denied)
[LOG]: Permission: android.permission.WRITE_EXTERNAL_STORAGE, Status: -1 (Denied)
[LOG]: Permission: android.permission.WRITE_SECURE_SETTINGS, Status: -1 (Denied)
[LOG]: Permission: android.permission.WRITE_SETTINGS, Status: -1 (Denied)
[LOG]: Permission: android.permission.WRITE_SYNC_SETTINGS, Status: -1 (Denied)


--- Summary of granted permissions ---
[LOG]: Permission: android.permission.ACCESS_NETWORK_STATE, Status: 0 (Granted)
[LOG]: Permission: android.permission.ACCESS_WIFI_STATE, Status: 0 (Granted)
[LOG]: Permission: android.permission.BLUETOOTH, Status: 0 (Granted)
